group_id,group_name,bot_role,integration,inquiry,objective_quality,initial_preference,initial_majority_nancy,initial_consensus_type,total_discussion_time,total_discussion_cycles,final_decision_attempts,consensus_ratio,ai_average_utterance_length,human_average_utterance_length,human_contribution_balance_cv
C00c0e720b651c85d0593aef68c3f95e7,決策群組 #114,混合型AI,Y,Y,0,1,0,-1,1239.553239,2,1,0.5,276.0,56.370370370370374,0.291118518473
C0369078e97b148c777e4b2e169a0a3a1,決策群組 #115,混合型AI,Y,Y,0,0,0,0,1267.712583,6,1,0.5,226.83333333333334,16.98076923076923,0.36535812132680145
C10f741735a050ed348e8cc347599eec5,決策群組 #307,探究型AI,N,Y,1,1,1,1,996.006928,2,1,0.5,80.0,18.333333333333332,0.06020066434647006
C11a3423b43cc4f49aab397fdc6c37b22,決策群組 #314,探究型AI,N,Y,0,1,1,1,1839.608528,13,1,0.5,87.53846153846153,16.27956989247312,0.08047831094147603
C1914426912dfb4ef4a77e91751677d19,決策群組 #403,無介入AI,N,N,1,1,1,1,971.12829,3,1,1.0,55.333333333333336,23.275862068965516,0.13338270690782075
C1baf1f0e6c4d348a20289de34fe7e576,決策群組 #113,混合型AI,Y,Y,0,0,0,0,2293.349798,7,2,0.0,259.85714285714283,33.71875,0.4117148868088698
C1c27eaa26b1c41de93c597c0525bd513,決策群組 #105,混合型AI,Y,Y,1,1,0,-1,931.951151,2,1,1.0,291.5,27.2,0.026058889921572573
C1d5d0f277be77aa5d85ab15894d917ea,決策群組 #412,無介入AI,N,N,1,0,0,0,997.635299,9,1,1.0,57.111111111111114,15.138461538461538,0.20289093940754083
C1e531afa407b20112c03f9d274911049,決策群組 #108,混合型AI,Y,Y,1,0,0,0,1435.080879,2,1,0.5,249.0,51.48,0.5806613676497779
C2b4b9f4d304b3c5c34dfa83c32363a0f,決策群組 #410,無介入AI,N,N,1,1,0,-1,1339.238354,13,1,0.5,61.38461538461539,15.873684210526315,0.3249039124560091
C3269718862929fa4b7ae132df9294c3f,決策群組 #112,混合型AI,Y,Y,1,1,0,-1,1800.536932,11,1,1.0,250.0909090909091,28.55263157894737,0.25891154606400923
C3434eb8fbfb63a98ed8a39a706f3bf8c,決策群組 #305,探究型AI,N,Y,0,1,1,1,2127.373703,4,1,0.0,108.75,37.6,0.10205196524433459
C36a6352cacd6db2286cf7c98f45e8457,決策群組 #406,無介入AI,N,N,1,1,1,1,1569.760884,2,1,0.5,67.0,45.19230769230769,0.21449172446551854
C3b6edf4a772c4193e7bbc34d26945fb7,決策群組 #415,無介入AI,N,N,1,1,1,1,2112.641477,13,1,0.0,58.30769230769231,18.065217391304348,0.27880929765254653
C404f6609fe3a8108db25125fc34bfedc,決策群組 #313,探究型AI,N,Y,1,1,1,1,1008.910007,1,1,1.0,95.0,58.888888888888886,0.3062305420617291
C4e6617d83a3025ffd2bb4fd9704eb2d3,決策群組 #411,無介入AI,N,N,0,0,0,0,1946.26674,4,1,0.5,73.5,29.794871794871796,0.3248797459217776
C50895ec6f864c3750012782d64b379dd,決策群組 #312,探究型AI,N,Y,0,0,0,0,1562.228877,3,1,0.5,98.0,34.85294117647059,0.07037185397262238
C5571377252460a5af0e8818e4892a7df,決策群組 #202,整合型AI,Y,N,1,0,0,0,2038.133941,1,1,0.5,263.0,61.89473684210526,0.48586503691550403
C57feede43126a741d630ecc50c26cc54,決策群組 #211,整合型AI,Y,N,0,1,0,-1,1917.577223,2,1,0.5,334.5,45.733333333333334,0.5855197206327353
C6095bd80972eb0c0c2ed32437875ec65,決策群組 #303,探究型AI,N,Y,0,1,0,-1,1742.019577,9,1,0.5,72.66666666666667,21.746268656716417,0.3332159389493968
C614bef7d79efded90c3dadc5990c676f,決策群組 #111,混合型AI,Y,Y,1,0,0,0,1964.967364,11,1,0.3333333333333333,264.09090909090907,22.232558139534884,0.5190524764352201
C61cdbc661232f51129f6739fb9e1cfee,決策群組 #405,無介入AI,N,N,0,1,0,-1,995.238926,2,1,1.0,59.5,27.0,0.15930231976004863
C635b235715cf37365c1cc9f78af8abaa,決策群組 #214,整合型AI,Y,N,0,0,0,0,1666.680972,4,1,0.5,285.75,28.28205128205128,0.3602915323099306
C6ab11509d6554c1f6b4cc5fad686ab4d,決策群組 #301,探究型AI,N,Y,1,0,0,0,1652.437989,4,1,0.5,72.25,43.108108108108105,0.3871208093155161
C6cf2a310240749e3ae594efddfa44d88,決策群組 #413,無介入AI,N,N,1,1,0,-1,826.301135,4,1,1.0,63.25,23.529411764705884,0.16208601111755447
C6f8855729886418972bc4b641c178252,決策群組 #215,整合型AI,Y,N,0,1,0,-1,954.759835,2,1,1.0,312.5,27.791666666666668,0.10702589683702995
C71075578ec5a170a8552f59ed04a8c5b,決策群組 #204,整合型AI,Y,N,1,1,1,1,1080.506418,4,1,1.0,208.75,25.026315789473685,0.40832750380471516
C780ea2a6e306c6d630351cf1a431a771,決策群組 #107,混合型AI,Y,Y,0,1,0,-1,1502.993004,2,1,0.5,310.5,43.666666666666664,0.3223695310161261
C7dfeb7f5dd4bef2d0b3475ca5c49e949,決策群組 #308,探究型AI,N,Y,1,1,0,-1,2068.796549,8,1,0.3333333333333333,85.25,26.46268656716418,0.11163239025704416
C8294a7e825863b4b2988144d38ae9ed9,決策群組 #304,探究型AI,N,Y,0,0,0,0,1254.129451,3,1,0.5,84.33333333333333,28.852941176470587,0.27410575951433097
C8b8319596005bf324038f6b2ae4c1e0d,決策群組 #110,混合型AI,Y,Y,1,1,0,-1,2208.688404,4,1,0.0,299.25,39.945945945945944,0.1591468517238339
C955629a7d6e6a68365a4ee8c044e4ec6,決策群組 #407,無介入AI,N,N,1,1,1,1,1185.454489,2,1,1.0,69.0,44.21739130434783,0.24885055525749783
C95a198dc4e0b530fc7fa9b6e14231e13,決策群組 #311,探究型AI,N,Y,1,1,1,1,957.943277,5,1,1.0,99.4,35.09756097560975,0.11555447636077756
C970054dd71b3f7b5893e1c33fd09206a,決策群組 #212,整合型AI,Y,N,1,1,0,-1,1232.529462,10,1,0.5,234.5,18.5974025974026,0.4704144074542029
C9831abbff16c5c142795900ed632416c,決策群組 #206,整合型AI,Y,N,0,1,1,1,1069.383208,2,1,1.0,284.5,34.904761904761905,0.4698710051951792
C9e3bccb6633c9d9d9544efc28e00ec74,決策群組 #207,整合型AI,Y,N,1,1,1,1,1815.73854,3,1,0.5,315.6666666666667,42.96969696969697,0.13435478932705058
C9eb6274a194ff0687b301f99b490a1a9,決策群組 #109,混合型AI,Y,Y,0,1,0,-1,956.857024,2,1,1.0,273.5,33.36,0.29434924525868755
Ca30843e3ffaab395315a0893f00b526d,決策群組 #401,無介入AI,N,N,1,1,1,1,2135.338919,10,1,0.0,64.9,34.534246575342465,0.3122777402735998
Cafe15ed3a01c8f0f9302fac7f3123f78,決策群組 #414,無介入AI,N,N,1,0,0,0,886.260249,2,1,1.0,70.0,46.31818181818182,0.11471355600551487
Cc049074471ef8eaded189219a1e943c9,決策群組 #404,無介入AI,N,N,1,1,1,1,2117.824954,18,1,0.0,56.44444444444444,19.94214876033058,0.1279631160331273
Cc434ac7473bcd0864a27277f37cff948,決策群組 #203,整合型AI,Y,N,0,1,0,-1,927.945796,1,3,1.0,295.0,31.733333333333334,0.2537020230010498
Cc88a4ba7bbecbd979a60c17ce4ea06b1,決策群組 #106,混合型AI,Y,Y,1,1,1,1,1499.226992,4,1,1.0,235.25,27.194444444444443,0.07729350117422927
Cc9b4c43a669c37c0bb42a253361d38c9,決策群組 #208,整合型AI,Y,N,1,1,0,-1,2156.731272,2,1,0.0,342.5,35.88,0.5250090482388413
Ccc164e34dfb321a3d5194d24ff71c758,決策群組 #315,探究型AI,N,Y,0,1,0,-1,1307.679657,2,1,0.5,103.5,35.206896551724135,0.3148443313579374
Cd13a30eb40e49c5d68738707c05a7697,決策群組 #102,混合型AI,Y,Y,0,0,0,0,1855.298472,5,1,0.3333333333333333,264.0,33.891304347826086,0.12436598125359502
Cd30ced64d4aec515f7c494f0a7ec68a6,決策群組 #302,探究型AI,N,Y,0,1,0,-1,1020.826204,2,1,1.0,96.5,41.2,0.4369730239921695
Cd3f2df964de0fbc4f92704cd803bf8c6,決策群組 #104,混合型AI,Y,Y,0,0,0,0,1935.005724,5,1,0.5,279.4,31.065217391304348,0.355128116406072
Cd3f5411159af53565b280003586602ea,決策群組 #409,無介入AI,N,N,1,1,1,1,1785.970635,2,1,0.5,61.5,34.18518518518518,0.12223016057352508
Cd4bcbd7682f05f2eb3ad2474c24aaaed,決策群組 #103,混合型AI,Y,Y,1,0,0,0,1659.125475,2,1,0.5,276.0,49.86206896551724,0.2771140217212623
Cd7666516ba2b9445ef855462a3a3e045,決策群組 #213,整合型AI,Y,N,0,1,0,-1,991.317062,3,2,1.0,258.3333333333333,21.18421052631579,0.14814413304516608
Cd9e0f55efd971d55558149dcac5dde48,決策群組 #402,無介入AI,N,N,1,1,1,1,495.668836,1,1,1.0,67.0,24.41176470588235,0.4161216254195644
