start_time,consensus_reached_count,final_decision_count,team_size,consensus_checks_sent_count,total_duration_formatted,discussion_prompt_sent,bot_role,consensus_failed_count,main_end_time,end_time,main_start_time,votes_count,phase,group_name,group_id,status,final_vote_sent,total_duration_seconds,message_count,positions_all_set
2025-11-14T11:28:24.158752+00:00,1,1,3,1,20:39,True,混合型AI,1,2025-11-14T11:49:03.711991+00:00,2025-11-14T11:49:03.711991+00:00,2025-11-14T11:28:24.158752+00:00,3,main,決策群組 #114,C00c0e720b651c85d0593aef68c3f95e7,completed,True,1239.553239,3,True
2025-11-15T07:55:51.658223+00:00,1,1,3,1,21:07,True,混合型AI,1,2025-11-15T08:16:59.370806+00:00,2025-11-15T08:16:59.370806+00:00,2025-11-15T07:55:51.658223+00:00,3,main,決策群組 #115,C0369078e97b148c777e4b2e169a0a3a1,completed,True,1267.712583,4,True
2025-11-06T13:22:53.731050+00:00,1,1,3,1,16:36,True,探究型AI,1,2025-11-06T13:39:29.737978+00:00,2025-11-06T13:39:29.737978+00:00,2025-11-06T13:22:53.731050+00:00,3,main,決策群組 #307,C10f741735a050ed348e8cc347599eec5,completed,True,996.006928,3,True
2025-11-14T14:28:53.041954+00:00,1,1,3,2,30:39,True,探究型AI,1,2025-11-14T14:59:32.650482+00:00,2025-11-14T14:59:32.650482+00:00,2025-11-14T14:28:53.041954+00:00,3,main,決策群組 #314,C11a3423b43cc4f49aab397fdc6c37b22,completed,True,1839.608528,3,True
2025-11-01T02:17:14.157885+00:00,1,1,3,1,16:11,True,無介入AI,0,2025-11-01T02:33:25.286175+00:00,2025-11-01T02:33:25.286175+00:00,2025-11-01T02:17:14.157885+00:00,3,main,決策群組 #403,C1914426912dfb4ef4a77e91751677d19,completed,True,971.12829,1,True
2025-11-13T13:26:09.493358+00:00,0,2,3,2,38:13,True,混合型AI,1,2025-11-13T14:04:22.843156+00:00,2025-11-13T14:04:22.843156+00:00,2025-11-13T13:26:09.493358+00:00,3,main,決策群組 #113,C1baf1f0e6c4d348a20289de34fe7e576,completed,True,2293.349798,4,True
2025-11-02T06:27:11.915586+00:00,1,1,3,1,15:31,True,混合型AI,0,2025-11-02T06:42:43.866737+00:00,2025-11-02T06:42:43.866737+00:00,2025-11-02T06:27:11.915586+00:00,3,main,決策群組 #105,C1c27eaa26b1c41de93c597c0525bd513,completed,True,931.951151,4,True
2025-11-13T11:26:58.932116+00:00,1,1,3,1,16:37,True,無介入AI,0,2025-11-13T11:43:36.567415+00:00,2025-11-13T11:43:36.567415+00:00,2025-11-13T11:26:58.932116+00:00,3,main,決策群組 #412,C1d5d0f277be77aa5d85ab15894d917ea,completed,True,997.635299,2,True
2025-11-07T08:28:00.837478+00:00,1,1,3,1,23:55,True,混合型AI,1,2025-11-07T08:51:55.918357+00:00,2025-11-07T08:51:55.918357+00:00,2025-11-07T08:28:00.837478+00:00,3,main,決策群組 #108,C1e531afa407b20112c03f9d274911049,completed,True,1435.080879,0,True
2025-11-16T12:20:48.350689+00:00,1,1,3,1,22:19,True,無介入AI,1,2025-11-16T12:43:07.589043+00:00,2025-11-16T12:43:07.589043+00:00,2025-11-16T12:20:48.350689+00:00,3,main,決策群組 #410,C2b4b9f4d304b3c5c34dfa83c32363a0f,completed,True,1339.238354,5,True
2025-11-12T09:24:00.758552+00:00,1,1,3,1,30:00,True,混合型AI,0,2025-11-12T09:54:01.295484+00:00,2025-11-12T09:54:01.295484+00:00,2025-11-12T09:24:00.758552+00:00,3,main,決策群組 #112,C3269718862929fa4b7ae132df9294c3f,completed,True,1800.536932,1,True
2025-11-03T11:51:28.193331+00:00,0,1,3,2,35:27,True,探究型AI,2,2025-11-03T12:26:55.567034+00:00,2025-11-03T12:26:55.567034+00:00,2025-11-03T11:51:28.193331+00:00,3,main,決策群組 #305,C3434eb8fbfb63a98ed8a39a706f3bf8c,completed,True,2127.373703,2,True
2025-11-05T11:25:49.935209+00:00,1,1,3,1,26:09,True,無介入AI,1,2025-11-05T11:51:59.696093+00:00,2025-11-05T11:51:59.696093+00:00,2025-11-05T11:25:49.935209+00:00,3,main,決策群組 #406,C36a6352cacd6db2286cf7c98f45e8457,completed,True,1569.760884,2,True
2025-11-15T14:27:11.804835+00:00,0,1,3,2,35:12,True,無介入AI,2,2025-11-15T15:02:24.446312+00:00,2025-11-15T15:02:24.446312+00:00,2025-11-15T14:27:11.804835+00:00,3,main,決策群組 #415,C3b6edf4a772c4193e7bbc34d26945fb7,completed,True,2112.641477,0,True
2025-11-14T06:52:29.067651+00:00,1,1,3,1,16:48,True,探究型AI,0,2025-11-14T07:09:17.977658+00:00,2025-11-14T07:09:17.977658+00:00,2025-11-14T06:52:29.067651+00:00,3,main,決策群組 #313,C404f6609fe3a8108db25125fc34bfedc,completed,True,1008.910007,3,True
2025-11-12T07:52:19.301010+00:00,1,1,3,2,32:26,True,無介入AI,1,2025-11-12T08:24:45.567750+00:00,2025-11-12T08:24:45.567750+00:00,2025-11-12T07:52:19.301010+00:00,3,main,決策群組 #411,C4e6617d83a3025ffd2bb4fd9704eb2d3,completed,True,1946.26674,3,True
2025-11-12T13:03:34.178099+00:00,1,1,3,1,26:02,True,探究型AI,1,2025-11-12T13:29:36.406976+00:00,2025-11-12T13:29:36.406976+00:00,2025-11-12T13:03:34.178099+00:00,3,main,決策群組 #312,C50895ec6f864c3750012782d64b379dd,completed,True,1562.228877,4,True
2025-10-30T11:28:07.698261+00:00,1,1,3,2,33:58,True,整合型AI,1,2025-10-30T12:02:05.832202+00:00,2025-10-30T12:02:05.832202+00:00,2025-10-30T11:28:07.698261+00:00,3,main,決策群組 #202,C5571377252460a5af0e8818e4892a7df,completed,True,2038.133941,1,True
2025-11-11T11:24:18.819609+00:00,1,1,3,2,31:57,True,整合型AI,1,2025-11-11T11:56:16.396832+00:00,2025-11-11T11:56:16.396832+00:00,2025-11-11T11:24:18.819609+00:00,3,main,決策群組 #211,C57feede43126a741d630ecc50c26cc54,completed,True,1917.577223,5,True
2025-10-31T13:21:12.137309+00:00,1,1,3,1,29:02,True,探究型AI,1,2025-10-31T13:50:14.156886+00:00,2025-10-31T13:50:14.156886+00:00,2025-10-31T13:21:12.137309+00:00,3,main,決策群組 #303,C6095bd80972eb0c0c2ed32437875ec65,completed,True,1742.019577,0,True
2025-11-11T09:24:04.965655+00:00,1,1,3,2,32:44,True,混合型AI,2,2025-11-11T09:56:49.933019+00:00,2025-11-11T09:56:49.933019+00:00,2025-11-11T09:24:04.965655+00:00,3,main,決策群組 #111,C614bef7d79efded90c3dadc5990c676f,completed,True,1964.967364,5,True
2025-11-03T13:53:23.580686+00:00,1,1,3,1,16:35,True,無介入AI,0,2025-11-03T14:09:58.819612+00:00,2025-11-03T14:09:58.819612+00:00,2025-11-03T13:53:23.580686+00:00,3,main,決策群組 #405,C61cdbc661232f51129f6739fb9e1cfee,completed,True,995.238926,3,True
2025-11-14T12:50:21.916333+00:00,1,1,3,1,27:46,True,整合型AI,1,2025-11-14T13:18:08.597305+00:00,2025-11-14T13:18:08.597305+00:00,2025-11-14T12:50:21.916333+00:00,3,main,決策群組 #214,C635b235715cf37365c1cc9f78af8abaa,completed,True,1666.680972,3,True
