group_id,group_name,bot_role,integration,inquiry,shared_info_mention_count,unshared_info_mention_count,unshared_info_ratio
C00c0e720b651c85d0593aef68c3f95e7,決策群組 #114,混合型AI,Y,Y,9,3,0.1111111111111111
C0369078e97b148c777e4b2e169a0a3a1,決策群組 #115,混合型AI,Y,Y,11,5,0.2222222222222222
C10f741735a050ed348e8cc347599eec5,決策群組 #307,探究型AI,N,Y,2,3,0.16666666666666666
C11a3423b43cc4f49aab397fdc6c37b22,決策群組 #314,探究型AI,N,Y,7,10,0.2777777777777778
C1914426912dfb4ef4a77e91751677d19,決策群組 #403,無介入AI,N,N,6,8,0.3888888888888889
C1baf1f0e6c4d348a20289de34fe7e576,決策群組 #113,混合型AI,Y,Y,22,15,0.6111111111111112
C1c27eaa26b1c41de93c597c0525bd513,決策群組 #105,混合型AI,Y,Y,8,9,0.5
C1d5d0f277be77aa5d85ab15894d917ea,決策群組 #412,無介入AI,N,N,9,8,0.3333333333333333
C1e531afa407b20112c03f9d274911049,決策群組 #108,混合型AI,Y,Y,8,7,0.3333333333333333
C2b4b9f4d304b3c5c34dfa83c32363a0f,決策群組 #410,無介入AI,N,N,6,7,0.16666666666666666
C3269718862929fa4b7ae132df9294c3f,決策群組 #112,混合型AI,Y,Y,28,30,0.8333333333333334
C3434eb8fbfb63a98ed8a39a706f3bf8c,決策群組 #305,探究型AI,N,Y,22,22,0.7777777777777778
C36a6352cacd6db2286cf7c98f45e8457,決策群組 #406,無介入AI,N,N,10,7,0.3333333333333333
C3b6edf4a772c4193e7bbc34d26945fb7,決策群組 #415,無介入AI,N,N,13,21,0.6666666666666666
C404f6609fe3a8108db25125fc34bfedc,決策群組 #313,探究型AI,N,Y,4,6,0.3333333333333333
C4e6617d83a3025ffd2bb4fd9704eb2d3,決策群組 #411,無介入AI,N,N,4,10,0.3333333333333333
C50895ec6f864c3750012782d64b379dd,決策群組 #312,探究型AI,N,Y,5,7,0.2777777777777778
