final_choice,timestamp_final,user_id,initial_choice,position,timestamp,vote_type,group_id,bot_role,group_name
Amy,2025-11-14T11:49:03.669309+00:00,U29fc75d7186bda07bf7ae016ba04ab91,Sally,人資長,2025-11-14T11:28:32.251136+00:00,final,C00c0e720b651c85d0593aef68c3f95e7,混合型AI,決策群組 #114
Amy,2025-11-14T11:48:59.560160+00:00,U2a64ee46fe28dcf437bb3549fc29c52f,Amy,營運長,2025-11-14T11:28:34.934738+00:00,final,C00c0e720b651c85d0593aef68c3f95e7,混合型AI,決策群組 #114
Amy,2025-11-14T11:49:01.848942+00:00,Ud000351c4fff9ebd0863c333cd456344,Amy,行銷長,2025-11-14T11:28:37.250057+00:00,final,C00c0e720b651c85d0593aef68c3f95e7,混合型AI,決策群組 #114
Sally,2025-11-15T08:16:57.034875+00:00,U5b545fec5ef44f7612927736c2bcabb2,Amy,人資長,2025-11-15T07:56:07.759366+00:00,final,C0369078e97b148c777e4b2e169a0a3a1,混合型AI,決策群組 #115
Sally,2025-11-15T08:16:59.319500+00:00,U6175fa04e39b5aa773bd951ef0b3db94,Nancy,營運長,2025-11-15T07:55:58.952838+00:00,final,C0369078e97b148c777e4b2e169a0a3a1,混合型AI,決策群組 #115
Sally,2025-11-15T08:16:58.905165+00:00,U8bea6aafe417f532543b962bc48d3052,Sally,行銷長,2025-11-15T07:56:06.045533+00:00,final,C0369078e97b148c777e4b2e169a0a3a1,混合型AI,決策群組 #115
Nancy,2025-11-06T13:39:27.212423+00:00,U10d94547861d89c5acc936ce12f130c3,Nancy,人資長,2025-11-06T13:23:14.289780+00:00,final,C10f741735a050ed348e8cc347599eec5,探究型AI,決策群組 #307
Nancy,2025-11-06T13:39:29.473163+00:00,U21f7ee98fb2612cd542038420dad0474,Sally,行銷長,2025-11-06T13:22:58.173187+00:00,final,C10f741735a050ed348e8cc347599eec5,探究型AI,決策群組 #307
Nancy,2025-11-06T13:39:29.691903+00:00,U3db9bf396fa466f53a532654c6e9b897,Nancy,營運長,2025-11-06T13:23:02.095899+00:00,final,C10f741735a050ed348e8cc347599eec5,探究型AI,決策群組 #307
Sally,2025-11-14T14:59:32.613633+00:00,U402f39674e538a18577e0552127fdcc7,Nancy,營運長,2025-11-14T14:29:01.540449+00:00,final,C11a3423b43cc4f49aab397fdc6c37b22,探究型AI,決策群組 #314
Sally,2025-11-14T14:59:29.930180+00:00,U9e285196c657ee24bb69a5d1203c6157,Nancy,人資長,2025-11-14T14:29:04.106955+00:00,final,C11a3423b43cc4f49aab397fdc6c37b22,探究型AI,決策群組 #314
Sally,2025-11-14T14:59:27.517583+00:00,Ufe1fb29992beeffd2e94a2a6b8001903,Sally,行銷長,2025-11-14T14:28:56.601996+00:00,final,C11a3423b43cc4f49aab397fdc6c37b22,探究型AI,決策群組 #314
Nancy,2025-11-01T02:33:14.444699+00:00,U2ae1e36d9819336619d8f5f70502ef95,Amy,營運長,2025-11-01T02:17:17.365832+00:00,final,C1914426912dfb4ef4a77e91751677d19,無介入AI,決策群組 #403
